,2016-07-22
09:00:00,16496
09:10:00,17689
09:20:00,17508
09:30:00,18011
09:40:00,17148
09:50:00,18133
10:00:00,17455
10:10:00,17561
10:20:00,17263
10:30:00,17256
10:40:00,16479
10:50:00,17150
11:00:00,17508
11:10:00,16550
11:20:00,16410
11:30:00,16722
11:40:00,16722
11:50:00,16722
12:00:00,16722
12:10:00,16722
12:20:00,16722
12:30:00,16804
12:40:00,17823
12:50:00,17574
13:00:00,17172
13:10:00,17900
13:20:00,16610
13:30:00,16953
13:40:00,17331
13:50:00,16825
14:00:00,16896
14:10:00,18063
14:20:00,17640
14:30:00,17107
14:40:00,17086
14:50:00,17853
15:00:00,16548
